Name,Description,Lokasi
Hotel Santika Blitar,"hotel yang terletak strategis di pusat Kota Blitar dekat dengan Stasiun Blitar dan Makam Bung Karno. 
Hotel ini menawarkan 123 kamar dengan berbagai tipe seperti Superior Deluxe Executive Deluxe Suite Junior Suite dan Suite. Fasilitas yang tersedia antara lain kolam renang luar ruangan restoran Lumbung Resto pusat kebugaran ruang pertemuan ballroom dan layanan kamar 24 jam. 
Hotel ini juga menyediakan Wi-Fi gratis di seluruh area dan parkir gratis untuk tamu. Cocok untuk wisatawan bisnis maupun keluarga yang mencari kenyamanan dan akses mudah ke berbagai destinasi wisata di Blitar.",Blitar
Patria Palace Hotel,"Kamar simpel & suite di hotel bernuansa santai yang menyediakan restoran, sarapan & Wi-Fi gratis.
Hotel kasual dengan pintu balkon yang indah berjarak 4 menit berjalan kaki dari stasiun kereta Blitar, 12 km dari kompleks candi Penataran Hindu, dan 2 km dari Sumber Udel Waterpark.
Kamar simpel menyediakan TV layar datar dan Wi-Fi gratis. Kamar di kelas lebih tinggi memiliki minibar. Suite memiliki pemutar DVD dan ruang keluarga/ruang makan.
Tersedia gratis sarapan hangat dan antar-jemput ke stasiun kereta. Terdapat juga restoran bernuansa santai dengan teras.",Blitar
Grand Mansion Hotel Blitar,"Kamar dan suite elegan dengan dekorasi modern, serta restoran/bar dengan karaoke dan musik live.
Hotel simpel di pusat kota ini terletak di pinggir Jalan Nasional Rute 3 serta berjarak 4 menit berjalan kaki dari stasiun kereta Blitar dan 13 km dari Penataran, kompleks candi Hindu abad ke-13.
Kamar dan suite elegan memiliki dekorasi modern dan TV layar datar.
Sarapan tersedia gratis. Fasilitas lainnya meliputi restoran/bar dengan musik live dan karaoke, serta fasilitas pertemuan yang luas.",Blitar
Patria Plaza Hotel,"Hotel simpel dilengkapi dengan Wi-Fi gratis, kafe, dan tempat bermain.
Hotel simpel di kawasan komersial yang ramai ini berjarak 11 menit berjalan kaki dari Water Park Sumber Udel, 15 menit berjalan kaki dari stasiun kereta Blitar, dan 12 km dari kompleks candi Hindu Penataran.
Kamar simpel dengan furnitur kayu tradisional dilengkapi TV kabel dan Wi-Fi gratis. Suite memiliki ruang keluarga.
Fasilitas hotel meliputi kafe simpel, tempat bermain, dan rental sepeda.",Blitar
Patria Family Hotel,"hotel modern yang terletak strategis di pusat Kota Blitar dekat dengan berbagai destinasi wisata seperti Makam Bung Karno dan Alun-Alun Blitar. 
Hotel ini menawarkan berbagai tipe kamar termasuk Family Room Super Executive Room dan VIP Room yang dilengkapi dengan fasilitas lengkap seperti AC TV layar datar Wi-Fi gratis minibar dan air panas. 
Tersedia juga restoran yang menyajikan hidangan khas Indonesia dan Chinese serta Sky Garden Rooftop yang cocok untuk acara keluarga atau komunitas.
Dengan pelayanan ramah dan harga terjangkau Patria Family Hotel menjadi pilihan ideal untuk menginap di Blitar.",Blitar
Sans WM Hotel Blitar,"Hotel budget modern yang menawarkan kenyamanan maksimal dengan harga terjangkau. 
Terletak di Jl. Dr. Moh. Hatta No. 11 Sentul Kepanjenkidul Blitar hotel ini menyediakan kamar-kamar ber-AC dengan fasilitas TV layar datar Wi-Fi gratis meja kerja dan kamar mandi pribadi dengan shower air panas. 
Tersedia juga area parkir gratis dan layanan resepsionis 24 jam. Hotel ini cocok untuk pelancong solo pasangan maupun keluarga yang mencari akomodasi praktis dan nyaman di Blitar.",Blitar
Patria Garden Hotel,"Hotel santai yang menawarkan sarapan dan Wi-Fi, serta restoran simpel dan area bermain anak-anak.
Hotel santai yang berbatasan dengan sawah ini berjarak 11 menit berjalan kaki dari Sumber Udel Waterpark dan 2 km dari Jalan Nasional Rute 3.
Kamar santai dilengkapi TV layar datar dan kamar mandi dalam. Kamar di kelas yang lebih tinggi memiliki ruang makan/keluarga dan kulkas. AC tersedia berdasarkan permintaan.
Fasilitas terdiri dari restoran simpel dan area bermain anak-anak. Sarapan dan Wi-Fi tersedia.",Blitar
Djoglo Djatimalang,"Djoglo Djatimalang Hotel Blitar adalah penginapan dengan konsep tradisional Jawa yang menawarkan suasana tenang dan nyaman. Terletak di Jl. Ir. Soekarno No. 350 Kel Sentul Kec Kepanjen Kidul Blitar hotel ini menyediakan fasilitas lengkap seperti Wi-Fi gratis restoran kafe taman dan teras. 
Kamar-kamarnya dilengkapi dengan AC TV layar datar kamar mandi pribadi dan beberapa unit memiliki area duduk. Cocok untuk wisatawan yang mencari pengalaman menginap dengan nuansa budaya lokal yang kental dan pelayanan yang ramah.",Blitar
Livy house blitar,"Livy House Blitar adalah penginapan modern dengan desain minimalis yang nyaman dan bersih terletak di Jl. Nias No.114 Sananwetan Kota Blitar. Menyediakan 13 kamar ber-AC dengan fasilitas Wi-Fi gratis TV meja kerja dan kamar mandi pribadi. 
Hotel ini juga memiliki restoran yang menyajikan masakan Indonesia serta layanan resepsionis 24 jam dan area parkir gratis. 
Cocok untuk wisatawan yang mencari akomodasi praktis dengan harga terjangkau di pusat kota Blitar.",Blitar
Soteria,"Kamar berfurnitur simpel dengan TV layar datar di hotel minimalis yang dilengkapi tempat parkir dan Wi-Fi.
Hotel simpel yang terletak di Jalan Nasional Rute 3 di kawasan perumahan ini berjarak 9 menit berjalan kaki dari Taman Kebon Rojo dan 15 menit berjalan kaki dari Makam Bung Karno.
Kamar simpel dengan pintu masuk eksterior menyediakan TV layar datar dan kamar mandi. Kamar keluarga dapat menampung hingga 3 orang.
Fasilitas meliputi tempat parkir dan Wi-Fi. Pasangan harus sudah menikah untuk memesan.",Blitar
Aston Jember Hotel & Conference Center,"Hotel mewah, restoran santai, dan kolam renang outdoor, serta kafe terbuka dan spa.
Hotel modern dengan fasad kaca dan batu ini berjarak 4 km dari Masjid Baiturrahman, 6 km dari Taman Botani Sukorambi, dan 10 km dari Bandara Notohadinegoro.
Dengan lantai kayu dan perabotan modern, kamar dan suite mewah bernuansa hangat ini menyediakan Wi-Fi gratis, TV layar datar, minibar, dan meja. Suite memiliki tambahan area duduk dan bak mandi terpisah. Room service tersedia 24 jam.
Fasilitas meliputi restoran santai, bar karaoke, kafe terbuka, dan bar kolam renang. Juga terdapat lounge di lobi yang santai, ballroom, spa, dan gym, serta kolam renang outdoor. Tersedia penyewaan sepeda.",Jember
Java Lotus Hotel Jember," ""hotel yang nyaman dengan fasilitas lengkap yang menawarkan pengalaman menginap yang menyenangkan di kota Jember. ",
HOTEL FORTUNAGRANDE JEMBER,"Kamar modern penuh warna di hotel santai yang menawarkan kolam renang outdoor dan restoran luas.
Hotel santai yang terletak di jalan ramai dengan deretan restoran dan pertokoan lokal ini berjarak 3 km dari taman rekreasi air Tiara Park dan stasiun kereta Jember, serta 9 km dari Taman Botani Sukorambi.
Kamar modern yang luas dengan mural penuh warna menyediakan TV, Wi-Fi, brankas, serta fasilitas pembuat teh dan kopi.
Terdapat restoran kontemporer yang luas dan lounge kopi. Fasilitas lainnya meliputi kolam renang outdoor dan gym.",Jember
Luminor Hotel Jember,"Kamar dan suite minimalis di hotel santai yang menawarkan restoran 24 jam dan halaman yang rindang.
Hotel santai yang terletak di area rindang dengan pemandangan kolam ini berjarak 4 km dari stasiun kereta Jember dan alun-alun kota Jember, serta 7 km dari Kebun Raya Sukorambi.
Kamar minimalis menyediakan TV layar datar, Wi-Fi, dan ketel. Kamar di kelas yang lebih tinggi dilengkapi balkon atau teras. Suite memiliki ruang keluarga terpisah.
Terdapat restoran dan kafe 24 jam yang luas dan penuh warna, serta halaman yang dikelilingi pepohonan dengan air mancur. Tersedia sarapan dan tempat parkir.",Jember
Royal Hotel n' Resto Jember,"hotel dengan fasilitas lengkap yang menawarkan akomodasi nyaman dan layanan restoran yang memuaskan. 
Terletak di pusat Jember hotel ini menjadi pilihan ideal bagi para wisatawan yang ingin menikmati suasana santai dan pelayanan terbaik selama menginap.",Jember
Bintang Mulia Hotel & Resto,"Properti modern yang menawarkan kamar & suite bersuasana santai, juga restoran, kolam renang outdoor, dan kafe.
Hotel santai dengan bangunan modern yang bisa dicapai dengan berjalan sepuluh menit dari halte bus ini berjarak 7 km dari Taman Botani Sukorambi, 38 km dari Pantai Papuma, dan 46 km dari jalur hiking Taman Nasional Meru Betiri.
Kamar santai dengan dekorasi berwarna lembut dan furnitur kayu ini menawarkan TV, minibar, serta fasilitas pembuat teh dan kopi. Beberapa kamar memiliki pemandangan kolam renang. Suite dilengkapi meja.
Fasilitas meliputi restoran yang simpel, dan kafe bersuasana santai yang dilengkapi teras. Ada pula kolam renang outdoor dengan bagian untuk anak-anak. Tersedia tempat parkir.",Jember
Hotel 88 Jember,"Kamar simpel di hotel sederhana yang menawarkan sarapan dan Wi-Fi gratis.
Hotel simpel yang terletak di area yang dipenuhi pertokoan ini berjarak 15 menit berjalan kaki dari stasiun kereta Jember, 2 km dari Museum Huruf Jember, dan 5 km dari Tiara Water Park.
Kamar simpel dilengkapi dengan Wi-Fi gratis, TV layar datar, dan brankas. Suite menyediakan kulkas mini, dan suite di kelas yang lebih tinggi juga memiliki ruang keluarga.
Sarapan gratis disajikan di ruang makan yang simpel. Tempat parkir tersedia.",Jember
Java Albani's," hotel yang menawarkan akomodasi nyaman dengan fasilitas modern dan pelayanan terbaik. 
Terletak di pusat Jember hotel ini menyediakan tempat yang ideal untuk beristirahat dan menikmati suasana kota dengan akses mudah ke berbagai tempat menarik di sekitar.",Jember
Kertanegara Homestay Jember,"Kertanegara Homestay Jember adalah penginapan nyaman dengan suasana tropis yang asri dan fasilitas lengkap. Terletak strategis di pusat kota Jember dekat Lippo Plaza dan berbagai tempat menarik lainnya. 
Menyediakan kolam renang luar ruangan Wi-Fi gratis restoran dengan sarapan prasmanan serta layanan kebersihan harian. Kamar-kamar ber-AC dilengkapi TV layar datar dan fasilitas pembuat kopi/teh. 
Cocok untuk keluarga pasangan dan pelancong bisnis yang mencari kenyamanan dengan harga terjangkau.",Jember
Garden View,"Garden View Hotel Jember adalah hotel dengan suasana yang nyaman dan tenang, menawarkan akomodasi jangka panjang yang ideal bagi para tamu yang ingin tinggal lebih lama di Jember. 
Dengan fasilitas lengkap dan pelayanan yang ramah, hotel ini cocok untuk keluarga atau profesional yang membutuhkan tempat tinggal dengan pemandangan alam yang asri dan suasana yang menyegarkan.",Jember
Grand Surya Hotel Kediri,"Hotel santai dengan spa, kolam renang outdoor dan lounge koktail, plus kafe, restoran, dan pusat kebugaran.
Hotel simpel ini berjarak 13 menit berjalan kaki dari Taman Brantas, 5 km dari Kebun Bunga Matahari, dan 3 km dari Taman Wisata Tirtoyoso.
Memiliki lantai keramik dan perabotan kayu, kamar-kamar simpel dilengkapi dengan Wi-Fi gratis, TV layar datar, serta fasilitas untuk membuat teh dan kopi. Suite memiliki area duduk.
Sarapan dan minuman selamat datang gratis. Pilihan bersantap terdiri dari restoran, kafe, lounge koktail, dan bar jus. Fasilitas lainnya termasuk toko wine, kolam renang outdoor, dan gym. Ada juga spa, serta ruang pertemuan dan ruang acara.",Kota Kediri
Citihub Hotel @Kediri,"Hotel bisnis simpel berkamar sederhana yang menawarkan Wi-Fi gratis dan minimarket 24 jam.
Hotel bisnis simpel di jalan yang ramai ini berjarak 6 km dari Monumen Kebangsaan Simpang Lima Gumul Kediri, 26 menit berjalan kaki dari Taman Sekartaji, dan 11 menit berjalan kaki dari stasiun Kediri.
Kamar-kamar dengan perabot simpel bernuansa hangat yang dilengkapi Wi-Fi gratis dan TV layar datar.
Ada minimarket 24 jam. Sarapan tersedia dengan biaya tambahan.",Kota Kediri
Lotus Garden Hotel Kediri by WH,"Kamar fungsional di hotel simpel dengan restoran China, kafe, dan pusat kebugaran.
Hotel simpel yang dibangun di sekitar kolam pusat ini berjarak 4 km dari Stadion Brawijaya dan 9 km dari taman rekreasi air Gumul Paradise Island.
Kamar simpel dengan Wi-Fi gratis, TV satelit, brankas, kulkas mini, serta fasilitas untuk membuat teh dan kopi. Room service tersedia 24 jam.
Parkir gratis. Terdapat restoran China, pusat kebugaran, dan kedai kopi. Fasilitas lainnya meliputi lounge di lobi, ruang pertemuan, dan business center.",Kota Kediri
VIVA HOTEL KEDIRI,"Kamar minimalis di hotel simpel yang menawarkan Wi-Fi gratis dan restoran/bar.
Hotel kasual di gedung penuh warna ini dikelilingi oleh berbagai restoran dan pertokoan, berjarak 3 km dari stasiun kereta Kediri, dan 8 km dari Gua Selomangleng yang memiliki ukiran zaman purba.
Kamar-kamar simpel dengan Wi-Fi gratis dan TV layar datar; kamar di kelas yang lebih tinggi dilengkapi kulkas mini dan fasilitas pembuat teh dan kopi. Room service tersedia 24 jam.
Terdapat restoran/bar kasual, teras, dan lounge yang lapang dan semarak.",Kota Kediri
Hotel Front One Kediri,"Kamar simpel dengan TV layar datar di hotel kasual yang menawarkan kolam renang outdoor, kafe, dan lounge.
Hotel simpel bereksterior penuh warna yang terletak di dekat restoran dan kedai kopi ini berjarak 3 km dari taman rekreasi air Gumul Paradise Island dan 5 km dari stasiun kereta Kediri.
Kamar simpel, beberapa dengan mural yang cerah, menawarkan Wi-Fi dan TV layar datar. Room service tersedia 24/7.
Fasilitas termasuk kolam renang outdoor, kafe santai, dan lounge lobi. Tersedia tempat parkir.",Ngasem
Hotel Merdeka Kediri,"Hotel santai yang dilengkapi restoran, sarapan gratis, kafe/bar yang ramai, serta spa.
Hotel santai ini berjarak 7 menit berjalan kaki dari stasiun kereta Kediri, 11 menit berjalan kaki dari taman rekreasi air Gumul Paradise Island, dan 6 km dari monumen Simpang Lima Gumul.
Kamar santai menawarkan TV kabel, kulkas mini, serta alat pembuat teh dan kopi. Beberapa kamar memiliki panorama taman, sedangkan kamar di kelas yang lebih tinggi memiliki area tempat duduk bersofa.
Fasilitas gratis meliputi sarapan prasmanan, serta akses ke kolam renang dan ruang kebugaran di hotel partner di sekitar. Ada spa, restoran, dan kafe/bar yang keren dengan DJ dan musik live secara reguler.",Kota Kediri
Favehotel Kediri,"Favehotel Kediri adalah hotel bintang 3 yang terletak strategis di kawasan Simpang Lima Gumul Kediri dekat dengan Monumen Simpang Lima Gumul. Hotel ini menawarkan 107 kamar dengan berbagai tipe seperti faveroom (19 m²) funroom (26 m²) dan freshroom (36 m²) yang dilengkapi dengan fasilitas modern seperti AC TV layar datar Wi-Fi gratis minibar dan bathtub di tipe freshroom. 
Mengusung konsep ArchSmart hotel ini menyediakan teknologi pintar di setiap kamar seperti Google Nest dan TV berbasis Android untuk kenyamanan tamu. Fasilitas lainnya mencakup kolam renang luar ruangan restoran Lime Café yang menyajikan masakan Indonesia ruang pertemuan health club taman bermain anak layanan kamar 24 jam dan parkir gratis. 
Cocok untuk wisatawan bisnis maupun keluarga yang mencari akomodasi nyaman dengan harga terjangkau di Kediri.",Ngasem
Hotel Penataran Kediri,"Hotel Penataran Kediri adalah hotel yang terletak di pusat Kota Kediri tepatnya di Jl. Dhoho No. 190 Kediri 64123. Hotel ini menawarkan akomodasi yang nyaman dengan fasilitas dasar seperti Wi-Fi gratis resepsionis 24 jam dan layanan kebersihan harian. Lokasinya yang strategis memudahkan akses ke berbagai tempat wisata kuliner dan pusat perbelanjaan di sekitar kota. 
Cocok untuk wisatawan yang mencari penginapan dengan harga terjangkau dan pelayanan yang ramah.",Kota Kediri
Dela Charis Hotel Kediri,"De La Charis Hotel Kediri adalah hotel modern yang mengusung gaya hidup ramah lingkungan terletak di pusat Kota Kediri tepatnya di Jl. Panglima Sudirman No.91. Hotel ini menawarkan berbagai tipe kamar seperti Deluxe King atau Twin Executive King dan Presidential Suite yang dilengkapi dengan fasilitas Wi-Fi gratis AC TV layar datar dan kamar mandi pribadi. 
Tersedia juga fasilitas umum seperti kolam renang luar ruangan restoran area parkir gratis dan resepsionis 24 jam. Lokasinya yang strategis memudahkan akses ke berbagai tempat wisata kuliner dan pusat perbelanjaan di sekitar kota. 
Cocok untuk wisatawan yang mencari akomodasi nyaman dengan harga terjangkau di Kediri.",Kota Kediri
Bukit Daun Hotel and Resort adalah hotel resort terbaik di Kediri,"Bukit Daun Hotel and Resort adalah hotel resort terbaik di Kediri yang menawarkan pengalaman menginap yang nyaman dan menyenangkan. Terletak di kawasan yang tenang dengan pemandangan alam yang indah hotel ini dilengkapi dengan fasilitas lengkap seperti kolam renang luar ruangan restoran tempat fitness dan layanan kamar 24 jam. 
Bukit Daun Hotel and Resort menjadi pilihan ideal bagi wisatawan yang mencari akomodasi berkualitas dengan suasana yang nyaman dan tenang di Kediri.",Mojoroto
Hotel Grand Mahkota,"Kamar & suite minimalis di hotel simpel yang menawarkan restoran/bar terbuka.
Terletak di area perumahan yang rindang, hotel kasual yang berada di dekat area pertokoan dan tempat makan ini berjarak 2 km dari stasiun kereta Lamongan dan 4 km dari Masjid Namira.
Kamar dan suite berdekorasi simpel dilengkapi alat pembuat teh dan kopi, TV layar datar, serta teras berfurnitur. Room service tersedia 24 jam.
Fasilitas meliputi ruang salat dan restoran/bar prasmanan santai yang menawarkan tempat makan terbuka. Fasilitas laundry tamu tersedia. Tempat parkir dapat diatur.",Sidoharjo
Hotel Elresas,"Hotel santai berkamar simpel menawarkan sarapan gratis dan restoran berteras dengan musik live.
Hotel kasual yang terletak di bangunan modular ini berjarak beberapa langkah dari pusat kota dan 2 km dari stasiun kereta Lamongan.
Kamar-kamar simpel menawarkan Wi-Fi gratis dan TV layar datar.
Sudah termasuk sarapan yang disajikan di ruang makan bernuansa cerah. Ada juga restoran santai yang menampilkan musik live dan area tempat duduk teras. Tersedia tempat parkir serta layanan antar-jemput tamu.",Lamongan
Grand Wisma Hotel (Syariah),"Grand Wisma Hotel (Syariah) adalah hotel syariah yang terletak di Jl. Raya Mantup No. 09 Sukomulyo, Lamongan, Jawa Timur. 
Hotel ini menawarkan akomodasi yang nyaman dengan fasilitas seperti Wi-Fi gratis, area parkir, resepsionis 24 jam, dan layanan kebersihan harian. Kamar-kamarnya dilengkapi dengan AC, TV layar datar, dan kamar mandi pribadi. 
Lokasinya yang strategis memudahkan akses ke berbagai tempat wisata dan pusat kota Lamongan.",Lamongan
Hotel Aqiilah Syariah,"Hotel Aqiilah Syariah adalah hotel syariah yang nyaman di Lamongan. Dengan fasilitas yang sederhana namun lengkap, hotel ini menyediakan Wi-Fi gratis, AC, TV layar datar, dan kamar mandi pribadi. 
Lokasinya yang strategis memungkinkan akses mudah ke berbagai tempat di Lamongan, menjadikannya pilihan ideal bagi pelancong yang mencari akomodasi syariah yang terjangkau.",Rejosari
Hotel Arut Syari'ah,"Hotel Arut Syari'ah adalah hotel dengan konsep syariah yang terletak dekat dengan SPBU dan Pondok di Lamongan. Menyediakan fasilitas lengkap seperti restoran, Wi-Fi gratis, dan tempat parkir luas. 
Hotel ini cocok untuk keluarga dan pengunjung yang membutuhkan akomodasi yang bersih dan nyaman dalam lingkungan yang tenang.",Plosowahyu
Hotel Bougenville Syari'ah,"Hotel Bougenville Syari'ah adalah pilihan penginapan syariah yang nyaman di Lamongan. Dikenal dengan restoran yang menyajikan masakan lezat dan berbagai fasilitas lengkap termasuk Wi-Fi gratis, AC, dan kamar mandi pribadi. 
Dengan suasana yang tenang dan pelayanan yang ramah, hotel ini cocok untuk tamu yang mencari akomodasi berkualitas di Lamongan.",Tumenggung Baru
FA Hotel Babat,"FA Hotel Babat adalah hotel yang menawarkan kenyamanan dengan harga yang terjangkau di Babat, Lamongan. Dilengkapi dengan fasilitas Wi-Fi gratis, restoran, serta kamar yang nyaman dengan fasilitas standar, 
hotel ini cocok untuk perjalanan bisnis atau liburan keluarga. Lokasi yang strategis memudahkan akses ke berbagai tempat di sekitar.",Banaran
Grand Hagawa Lamongan,"Grand Hagawa Lamongan adalah hotel yang menawarkan penginapan nyaman dan fasilitas lengkap, seperti kolam renang, restoran, dan ruang pertemuan. Dengan lokasinya yang strategis, 
hotel ini menjadi pilihan tepat untuk tamu yang mencari akomodasi yang nyaman di Lamongan baik untuk bisnis maupun liburan.",Lamongan
Assalaam Homestay Syariah RedPartner,"Assalaam Homestay Syariah RedPartner adalah homestay dengan konsep syariah yang menawarkan penginapan yang tenang dan nyaman di Lamongan. Homestay ini dilengkapi dengan fasilitas dasar yang memadai, 
termasuk Wi-Fi gratis dan layanan kebersihan harian, cocok untuk pelancong yang membutuhkan akomodasi sederhana namun nyaman.",Lamongan
HENNOYUSTIAN HOMESTAY,"HENNOYUSTIAN HOMESTAY adalah penginapan sederhana yang terletak di Lamongan. Menyediakan fasilitas bed & breakfast dengan suasana yang nyaman dan layanan yang ramah. 
Homestay ini cocok untuk tamu yang mencari tempat menginap yang tenang dan nyaman dengan harga terjangkau.",Paciran
